Nom,1/9/2012,15/9/2012,1/10/2012,15/10/2012,1/11/2012,15/11/2012,1/12/2012,15/12/2012,1/1/2013,15/1/2013,1/2/2013,15/2/2013,1/3/2013,15/3/2013,1/4/2013,15/4/2013,1/5/2013,15/5/2013,1/6/2013,15/6/2013,1/7/2013,15/7/2013,1/8/2013,15/8/2013,1/9/2013,15/9/2013,1/10/2013,15/10/2013,1/11/2013,15/11/2013,1/12/2013,15/12/2013,1/1/2014,15/1/2014,1/2/2014,15/2/2014,1/3/2014,15/3/2014,1/4/2014,15/4/2014,1/5/2014,15/5/2014,1/6/2014,15/6/2014,1/7/2014,15/7/2014,1/8/2014,15/8/2014,1/9/2014,15/9/2014,1/10/2014,15/10/2014,1/11/2014,15/11/2014,1/12/2014,15/12/2014,1/1/2015,15/1/2015,1/2/2015,15/2/2015,1/3/2015,15/3/2015,1/4/2015,15/4/2015,1/5/2015,15/5/2015,1/6/2015,15/6/2015,1/7/2015,15/7/2015,1/8/2015,15/8/2015,1/9/2015,15/9/2015,1/10/2015,15/10/2015,1/11/2015,15/11/2015,1/12/2015,15/12/2015,1/1/2016,15/1/2016,1/2/2016,15/2/2016,1/3/2016,15/3/2016,1/4/2016,15/4/2016,1/5/2016,15/5/2016,1/6/2016,15/6/2016,1/7/2016,15/7/2016,1/8/2016,15/8/2016,1/9/2016,15/9/2016,1/10/2016,15/10/2016,1/11/2016,15/11/2016,1/12/2016,15/12/2016,1/1/2017,15/1/2017,1/2/2017,15/2/2017,1/3/2017,15/3/2017,1/4/2017,15/4/2017,1/5/2017,15/5/2017,1/6/2017,15/6/2017,1/7/2017,15/7/2017,1/8/2017,15/8/2017,1/9/2017,15/9/2017,1/10/2017,15/10/2017,1/11/2017,15/11/2017,1/12/2017,15/12/2017,1/1/2018,15/1/2018,1/2/2018,15/2/2018,1/3/2018,15/3/2018,1/4/2018,15/4/2018,1/5/2018,15/5/2018,1/6/2018,15/6/2018,1/7/2018,15/7/2018,1/8/2018,15/8/2018,1/9/2018,15/9/2018,1/10/2018,15/10/2018,1/11/2018,15/11/2018,1/12/2018,15/12/2018,1/1/2019,15/1/2019,1/2/2019,15/2/2019,1/3/2019,15/3/2019,1/4/2019,15/4/2019,1/5/2019,15/5/2019,1/6/2019,15/6/2019,1/7/2019,15/7/2019,1/8/2019,15/8/2019,1/9/2019,15/9/2019,1/10/2019,
AideAuxDevoirsIUTLAROCHELLE20172018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,1182,1819,1983,2169,2222,2258,2341,2343,2354,2374,2380,2380,2380,2381,2381,2381,2381,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,
AngelBrigaud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,150,161,217,217,217,217,217,347,388,388,388,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,464,509,509,524,524,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,
AnniversaireNicolas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,87,87,125,152,1024,1156,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,
AntonySheldon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,66,66,99,105,105,177,189,190,232,232,232,232,271,283,283,283,294,294,294,299,299,312,312,312,467,498,498,498,511,511,511,511,511,511,511,511,511,511,511,563,563,563,572,572,572,572,592,592,592,592,592,706,706,706,706,706,706,706,706,706,706,709,731,731,732,732,732,769,769,796,796,796,796,796,796,798,802,802,804,804,804,804,
BOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856,5155,7511,10566,15214,17632,19021,20577,20811,24034,25895,28978,33524,35667,37601,40066,42506,44171,46956,49669,53381,56198,58237,60298,61333,63387,66458,69057,71521,73831,75642,76790,77531,78877,80159,81792,
CharlyPoirier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,14,52,87,310,459,479,540,989,1212,1461,1921,2418,2639,2852,3026,3384,3550,3569,3656,3750,4070,4129,4129,4129,4149,4157,4348,
ClaireBoutenegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1447,2940,3548,4495,5630,7396,8140,8370,9465,10157,10322,11409,12394,12772,12872,12963,13066,13379,13749,13773,13920,14002,14145,14266,14266,14266,14266,14533,14576,14606,14616,14627,14627,14986,15172,15399,15571,15868,16097,16212,16334,16525,16627,16672,16950,16989,17166,17172,17189,17234,17288,17308,17386,17398,17423,17429,17487,17646,17646,
ClementineApuzzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112,395,480,541,686,801,925,938,956,961,996,1065,1122,1126,1126,1126,1126,1128,1173,1173,1313,1313,1319,1397,1397,1397,1397,1397,1409,1409,1409,1409,1409,1410,1410,1410,1410,
ConstructeurDeBoites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,353,389,733,1390,1390,1390,1390,1390,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,
DelphineClary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,2180,2190,2421,2883,3253,3951,4276,4522,4895,5419,5726,5979,6029,6093,6170,6328,6592,6629,6884,7011,7050,7178,8078,8239,8333,
